team_name,game_date,season,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y
Golden State Warriors,3/24/17,2016,3,2,35,n,Alley Oop Dunk Shot,2PT Field Goal,0,Sacramento Kings,0,1
Golden State Warriors,11/3/16,2016,2,10,51,n,Alley Oop Dunk Shot,2PT Field Goal,1,Oklahoma City Thunder,-12,13
Golden State Warriors,10/25/16,2016,2,0,6,y,Alley Oop Dunk Shot,2PT Field Goal,0,San Antonio Spurs,0,1
Golden State Warriors,11/3/16,2016,2,11,10,n,Alley Oop Layup shot,2PT Field Goal,1,Oklahoma City Thunder,-1,11
Golden State Warriors,1/8/17,2016,4,0,32,y,Cutting Dunk Shot,2PT Field Goal,0,Sacramento Kings,0,1
Golden State Warriors,3/16/17,2016,3,5,30,y,Cutting Dunk Shot,2PT Field Goal,0,Orlando Magic,0,1
Golden State Warriors,1/2/17,2016,4,7,57,y,Cutting Dunk Shot,2PT Field Goal,0,Denver Nuggets,0,1
Golden State Warriors,12/7/16,2016,4,9,31,y,Cutting Dunk Shot,2PT Field Goal,0,Los Angeles Clippers,0,1
Golden State Warriors,2/28/17,2016,2,0,23,y,Cutting Dunk Shot,2PT Field Goal,0,Washington Wizards,0,1
Golden State Warriors,2/1/17,2016,2,0,2,y,Cutting Dunk Shot,2PT Field Goal,0,Charlotte Hornets,0,1
Golden State Warriors,11/25/16,2016,1,0,44,y,Cutting Dunk Shot,2PT Field Goal,0,Los Angeles Lakers,0,1
Golden State Warriors,2/13/17,2016,1,0,41,y,Cutting Dunk Shot,2PT Field Goal,0,Denver Nuggets,0,1
Golden State Warriors,12/28/16,2016,2,3,34,y,Cutting Dunk Shot,2PT Field Goal,0,Toronto Raptors,0,1
Golden State Warriors,3/28/17,2016,3,5,56,y,Cutting Dunk Shot,2PT Field Goal,0,Houston Rockets,0,1
Golden State Warriors,12/7/16,2016,3,3,23,y,Cutting Dunk Shot,2PT Field Goal,0,Los Angeles Clippers,0,1
Golden State Warriors,11/16/16,2016,2,1,23,y,Cutting Dunk Shot,2PT Field Goal,0,Toronto Raptors,0,1
Golden State Warriors,11/18/16,2016,1,3,36,y,Cutting Dunk Shot,2PT Field Goal,0,Boston Celtics,0,1
Golden State Warriors,2/13/17,2016,1,1,3,y,Cutting Dunk Shot,2PT Field Goal,0,Denver Nuggets,0,1
Golden State Warriors,2/11/17,2016,1,0,59,y,Cutting Dunk Shot,2PT Field Goal,0,Oklahoma City Thunder,0,1
Golden State Warriors,11/25/16,2016,2,3,24,y,Cutting Dunk Shot,2PT Field Goal,0,Los Angeles Lakers,0,1
