team_name,game_date,season,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y
Golden State Warriors,3/5/17,2016,3,7,50,y,Alley Oop Layup shot,2PT Field Goal,1,New York Knicks,17,2
Golden State Warriors,12/30/16,2016,3,7,48,y,Alley Oop Layup shot,2PT Field Goal,1,Dallas Mavericks,9,7
Golden State Warriors,1/16/17,2016,1,9,6,y,Alley Oop Layup shot,2PT Field Goal,1,Cleveland Cavaliers,4,11
Golden State Warriors,12/7/16,2016,2,0,43,y,Cutting Dunk Shot,2PT Field Goal,0,Los Angeles Clippers,0,1
Golden State Warriors,11/19/16,2016,1,8,43,y,Cutting Dunk Shot,2PT Field Goal,0,Milwaukee Bucks,0,1
Golden State Warriors,1/22/17,2016,3,9,27,y,Cutting Dunk Shot,2PT Field Goal,0,Orlando Magic,0,1
Golden State Warriors,11/4/16,2016,4,6,6,y,Cutting Dunk Shot,2PT Field Goal,0,Los Angeles Lakers,0,1
Golden State Warriors,3/16/17,2016,3,1,20,y,Cutting Dunk Shot,2PT Field Goal,0,Orlando Magic,0,1
Golden State Warriors,2/4/17,2016,4,0,57,y,Cutting Dunk Shot,2PT Field Goal,0,Sacramento Kings,0,1
Golden State Warriors,12/20/16,2016,3,3,22,y,Cutting Dunk Shot,2PT Field Goal,0,Utah Jazz,0,1
Golden State Warriors,1/2/17,2016,1,10,50,y,Cutting Dunk Shot,2PT Field Goal,0,Denver Nuggets,0,1
Golden State Warriors,12/25/16,2016,4,1,31,y,Cutting Dunk Shot,2PT Field Goal,0,Cleveland Cavaliers,0,1
Golden State Warriors,11/21/16,2016,1,8,13,y,Cutting Dunk Shot,2PT Field Goal,0,Indiana Pacers,0,1
Golden State Warriors,1/20/17,2016,2,2,22,y,Cutting Dunk Shot,2PT Field Goal,0,Houston Rockets,0,1
Golden State Warriors,2/27/17,2016,1,5,36,y,Cutting Dunk Shot,2PT Field Goal,0,Philadelphia 76ers,0,1
Golden State Warriors,11/16/16,2016,2,3,43,y,Cutting Dunk Shot,2PT Field Goal,0,Toronto Raptors,0,1
Golden State Warriors,2/27/17,2016,4,4,21,y,Cutting Dunk Shot,2PT Field Goal,0,Philadelphia 76ers,0,1
Golden State Warriors,11/9/16,2016,4,8,48,y,Cutting Dunk Shot,2PT Field Goal,0,Dallas Mavericks,0,1
Golden State Warriors,12/7/16,2016,1,6,31,y,Cutting Dunk Shot,2PT Field Goal,0,Los Angeles Clippers,0,1
Golden State Warriors,3/28/17,2016,1,9,6,y,Cutting Dunk Shot,2PT Field Goal,0,Houston Rockets,0,1
Golden State Warriors,3/20/17,2016,3,9,8,n,Cutting Dunk Shot,2PT Field Goal,0,Oklahoma City Thunder,0,1
Golden State Warriors,3/18/17,2016,1,1,7,y,Cutting Dunk Shot,2PT Field Goal,0,Milwaukee Bucks,0,1
Golden State Warriors,11/19/16,2016,1,8,19,y,Cutting Dunk Shot,2PT Field Goal,0,Milwaukee Bucks,0,1
Golden State Warriors,10/30/16,2016,1,1,58,y,Cutting Dunk Shot,2PT Field Goal,0,Phoenix Suns,0,1
Golden State Warriors,3/21/17,2016,2,3,24,y,Cutting Dunk Shot,2PT Field Goal,0,Dallas Mavericks,0,1
Golden State Warriors,12/25/16,2016,2,8,48,y,Cutting Layup Shot,2PT Field Goal,0,Cleveland Cavaliers,-6,7
Golden State Warriors,1/25/17,2016,3,6,54,y,Cutting Layup Shot,2PT Field Goal,1,Charlotte Hornets,-17,2
Golden State Warriors,11/13/16,2016,4,2,39,y,Cutting Layup Shot,2PT Field Goal,0,Phoenix Suns,1,8
Golden State Warriors,10/25/16,2016,1,9,28,n,Cutting Layup Shot,2PT Field Goal,1,San Antonio Spurs,-19,3
Golden State Warriors,12/15/16,2016,3,9,39,y,Cutting Layup Shot,2PT Field Goal,1,New York Knicks,0,13
Golden State Warriors,1/29/17,2016,1,6,16,y,Cutting Layup Shot,2PT Field Goal,1,Portland Trail Blazers,-15,-1
Golden State Warriors,1/2/17,2016,4,0,53,y,Cutting Layup Shot,2PT Field Goal,2,Denver Nuggets,6,21
Golden State Warriors,12/28/16,2016,3,7,14,y,Cutting Layup Shot,2PT Field Goal,0,Toronto Raptors,4,8
Golden State Warriors,2/11/17,2016,2,10,37,y,Cutting Layup Shot,2PT Field Goal,1,Oklahoma City Thunder,-19,-6
Golden State Warriors,11/9/16,2016,1,2,15,y,Cutting Layup Shot,2PT Field Goal,1,Dallas Mavericks,1,11
Golden State Warriors,2/10/17,2016,2,3,16,y,Cutting Layup Shot,2PT Field Goal,0,Memphis Grizzlies,-9,2
Golden State Warriors,10/25/16,2016,2,6,14,y,Cutting Layup Shot,2PT Field Goal,1,San Antonio Spurs,4,16
Golden State Warriors,11/25/16,2016,1,4,14,y,Cutting Layup Shot,2PT Field Goal,2,Los Angeles Lakers,-21,-2
Golden State Warriors,12/28/16,2016,2,4,16,y,Cutting Layup Shot,2PT Field Goal,0,Toronto Raptors,-6,7
Golden State Warriors,12/7/16,2016,3,11,38,y,Cutting Layup Shot,2PT Field Goal,2,Los Angeles Clippers,12,16
Golden State Warriors,11/25/16,2016,2,6,17,n,Cutting Layup Shot,2PT Field Goal,2,Los Angeles Lakers,1,21
Golden State Warriors,1/18/17,2016,1,7,54,n,Cutting Layup Shot,2PT Field Goal,2,Oklahoma City Thunder,-16,21
Golden State Warriors,12/5/16,2016,3,3,40,y,Cutting Layup Shot,2PT Field Goal,1,Indiana Pacers,-2,13
Golden State Warriors,11/7/16,2016,1,4,1,y,Cutting Layup Shot,2PT Field Goal,1,New Orleans Pelicans,1,16
Golden State Warriors,12/1/16,2016,1,5,41,y,Cutting Layup Shot,2PT Field Goal,1,Houston Rockets,-7,13
Golden State Warriors,2/1/17,2016,4,10,36,n,Driving Bank Hook Shot,2PT Field Goal,7,Charlotte Hornets,64,38
Golden State Warriors,11/13/16,2016,1,3,52,n,Driving Bank shot,2PT Field Goal,6,Phoenix Suns,53,43
Golden State Warriors,12/20/16,2016,1,6,47,n,Driving Bank shot,2PT Field Goal,10,Utah Jazz,92,46
Golden State Warriors,3/31/17,2016,2,3,5,y,Driving Bank shot,2PT Field Goal,4,Houston Rockets,-9,46
Golden State Warriors,12/30/16,2016,1,5,57,y,Driving Bank shot,2PT Field Goal,3,Dallas Mavericks,-9,31
