team_name,game_date,season,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y
Golden State Warriors,12/23/16,2016,3,9,37,y,Alley Oop Dunk Shot,2PT Field Goal,0,Detroit Pistons,0,1
Golden State Warriors,11/18/16,2016,3,8,3,y,Alley Oop Dunk Shot,2PT Field Goal,0,Boston Celtics,0,1
Golden State Warriors,12/5/16,2016,3,9,18,y,Alley Oop Dunk Shot,2PT Field Goal,0,Indiana Pacers,0,1
Golden State Warriors,11/4/16,2016,3,5,52,y,Alley Oop Dunk Shot,2PT Field Goal,0,Los Angeles Lakers,0,1
Golden State Warriors,10/30/16,2016,4,1,19,y,Alley Oop Layup shot,2PT Field Goal,0,Phoenix Suns,-1,3
Golden State Warriors,2/8/17,2016,3,10,1,n,Alley Oop Layup shot,2PT Field Goal,1,Chicago Bulls,2,18
Golden State Warriors,2/23/17,2016,3,11,26,y,Cutting Dunk Shot,2PT Field Goal,0,Los Angeles Clippers,0,1
Golden State Warriors,11/13/16,2016,3,5,16,y,Cutting Dunk Shot,2PT Field Goal,0,Phoenix Suns,0,1
Golden State Warriors,11/19/16,2016,1,10,25,y,Cutting Dunk Shot,2PT Field Goal,0,Milwaukee Bucks,0,1
Golden State Warriors,1/20/17,2016,3,6,38,y,Cutting Dunk Shot,2PT Field Goal,0,Houston Rockets,0,1
Golden State Warriors,11/13/16,2016,1,11,46,y,Cutting Dunk Shot,2PT Field Goal,0,Phoenix Suns,0,1
Golden State Warriors,1/2/17,2016,2,3,0,y,Cutting Dunk Shot,2PT Field Goal,0,Denver Nuggets,0,1
Golden State Warriors,11/10/16,2016,1,9,27,y,Cutting Dunk Shot,2PT Field Goal,0,Denver Nuggets,0,1
Golden State Warriors,11/16/16,2016,1,9,8,y,Cutting Dunk Shot,2PT Field Goal,0,Toronto Raptors,0,1
Golden State Warriors,11/3/16,2016,3,11,17,y,Cutting Dunk Shot,2PT Field Goal,0,Oklahoma City Thunder,0,1
Golden State Warriors,1/20/17,2016,3,9,3,y,Cutting Dunk Shot,2PT Field Goal,0,Houston Rockets,0,1
Golden State Warriors,2/11/17,2016,4,5,46,y,Cutting Dunk Shot,2PT Field Goal,0,Oklahoma City Thunder,0,1
Golden State Warriors,1/8/17,2016,4,3,39,y,Cutting Dunk Shot,2PT Field Goal,0,Sacramento Kings,0,1
Golden State Warriors,1/18/17,2016,2,4,16,y,Cutting Dunk Shot,2PT Field Goal,0,Oklahoma City Thunder,0,1
Golden State Warriors,2/13/17,2016,1,8,12,y,Cutting Dunk Shot,2PT Field Goal,0,Denver Nuggets,0,1
Golden State Warriors,2/4/17,2016,2,3,19,y,Cutting Dunk Shot,2PT Field Goal,0,Sacramento Kings,0,1
