team_name,game_date,season,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y
Golden State Warriors,11/1/16,2016,1,9,28,y,Alley Oop Layup shot,2PT Field Goal,2,Portland Trail Blazers,-25,7
Golden State Warriors,2/23/17,2016,4,10,16,y,Alley Oop Layup shot,2PT Field Goal,1,Los Angeles Clippers,2,11
Golden State Warriors,2/25/17,2016,3,5,30,y,Cutting Dunk Shot,2PT Field Goal,0,Brooklyn Nets,0,1
Golden State Warriors,3/21/17,2016,4,8,56,y,Cutting Finger Roll Layup Shot,2PT Field Goal,0,Dallas Mavericks,0,-1
Golden State Warriors,11/21/16,2016,2,4,39,y,Cutting Finger Roll Layup Shot,2PT Field Goal,1,Indiana Pacers,2,16
Golden State Warriors,12/30/16,2016,4,7,17,y,Cutting Finger Roll Layup Shot,2PT Field Goal,0,Dallas Mavericks,-6,7
Golden State Warriors,11/7/16,2016,4,7,46,y,Cutting Finger Roll Layup Shot,2PT Field Goal,2,New Orleans Pelicans,4,26
Golden State Warriors,12/5/16,2016,2,8,55,y,Cutting Finger Roll Layup Shot,2PT Field Goal,2,Indiana Pacers,4,26
Golden State Warriors,11/25/16,2016,4,7,31,y,Cutting Finger Roll Layup Shot,2PT Field Goal,1,Los Angeles Lakers,1,16
Golden State Warriors,11/13/16,2016,2,8,47,y,Cutting Finger Roll Layup Shot,2PT Field Goal,2,Phoenix Suns,15,21
Golden State Warriors,11/7/16,2016,3,10,17,y,Cutting Finger Roll Layup Shot,2PT Field Goal,1,New Orleans Pelicans,-1,11
Golden State Warriors,3/28/17,2016,1,6,44,y,Cutting Layup Shot,2PT Field Goal,0,Houston Rockets,1,-1
Golden State Warriors,12/10/16,2016,2,5,5,n,Cutting Layup Shot,2PT Field Goal,2,Memphis Grizzlies,-17,11
Golden State Warriors,2/4/17,2016,3,8,29,y,Cutting Layup Shot,2PT Field Goal,2,Sacramento Kings,19,11
Golden State Warriors,12/28/16,2016,1,11,49,y,Cutting Layup Shot,2PT Field Goal,0,Toronto Raptors,2,2
Golden State Warriors,11/21/16,2016,2,2,42,n,Cutting Layup Shot,2PT Field Goal,0,Indiana Pacers,1,0
Golden State Warriors,11/13/16,2016,3,4,51,y,Cutting Layup Shot,2PT Field Goal,1,Phoenix Suns,14,8
Golden State Warriors,1/6/17,2016,1,3,2,y,Cutting Layup Shot,2PT Field Goal,3,Memphis Grizzlies,25,21
Golden State Warriors,12/10/16,2016,2,7,30,y,Cutting Layup Shot,2PT Field Goal,1,Memphis Grizzlies,10,2
Golden State Warriors,10/28/16,2016,2,4,4,y,Cutting Layup Shot,2PT Field Goal,1,New Orleans Pelicans,9,13
Golden State Warriors,1/25/17,2016,3,11,10,y,Cutting Layup Shot,2PT Field Goal,0,Charlotte Hornets,6,2
Golden State Warriors,3/16/17,2016,1,7,28,y,Cutting Layup Shot,2PT Field Goal,1,Orlando Magic,-11,16
Golden State Warriors,3/20/17,2016,2,0,55,y,Cutting Layup Shot,2PT Field Goal,0,Oklahoma City Thunder,9,2
Golden State Warriors,12/5/16,2016,1,6,34,y,Cutting Layup Shot,2PT Field Goal,2,Indiana Pacers,4,21
Golden State Warriors,12/5/16,2016,3,9,32,y,Cutting Layup Shot,2PT Field Goal,1,Indiana Pacers,0,11
Golden State Warriors,12/15/16,2016,1,2,56,y,Cutting Layup Shot,2PT Field Goal,0,New York Knicks,-2,7
Golden State Warriors,2/10/17,2016,1,7,29,n,Cutting Layup Shot,2PT Field Goal,1,Memphis Grizzlies,9,13
Golden State Warriors,1/20/17,2016,1,5,43,y,Cutting Layup Shot,2PT Field Goal,3,Houston Rockets,22,26
Golden State Warriors,1/16/17,2016,4,9,14,y,Cutting Layup Shot,2PT Field Goal,1,Cleveland Cavaliers,4,11
Golden State Warriors,3/2/17,2016,2,10,52,y,Cutting Layup Shot,2PT Field Goal,1,Chicago Bulls,10,7
Golden State Warriors,3/2/17,2016,2,11,47,y,Cutting Layup Shot,2PT Field Goal,2,Chicago Bulls,-20,7
Golden State Warriors,1/2/17,2016,2,2,5,y,Cutting Layup Shot,2PT Field Goal,1,Denver Nuggets,1,16
Golden State Warriors,3/28/17,2016,1,11,18,y,Cutting Layup Shot,2PT Field Goal,1,Houston Rockets,15,-11
Golden State Warriors,3/18/17,2016,4,9,58,y,Cutting Layup Shot,2PT Field Goal,1,Milwaukee Bucks,12,13
Golden State Warriors,1/8/17,2016,2,7,38,y,Cutting Layup Shot,2PT Field Goal,1,Sacramento Kings,19,3
Golden State Warriors,12/22/16,2016,2,6,45,y,Cutting Layup Shot,2PT Field Goal,2,Brooklyn Nets,27,8
Golden State Warriors,11/7/16,2016,1,11,21,y,Cutting Layup Shot,2PT Field Goal,0,New Orleans Pelicans,-4,8
Golden State Warriors,1/8/17,2016,3,10,24,y,Cutting Layup Shot,2PT Field Goal,1,Sacramento Kings,-17,-1
Golden State Warriors,11/13/16,2016,4,9,4,y,Cutting Layup Shot,2PT Field Goal,1,Phoenix Suns,4,11
Golden State Warriors,12/25/16,2016,1,0,0,y,Cutting Layup Shot,2PT Field Goal,1,Cleveland Cavaliers,-12,-11
Golden State Warriors,3/20/17,2016,2,1,28,y,Cutting Layup Shot,2PT Field Goal,1,Oklahoma City Thunder,10,7
Golden State Warriors,2/25/17,2016,2,11,41,y,Cutting Layup Shot,2PT Field Goal,1,Brooklyn Nets,3,19
Golden State Warriors,11/1/16,2016,1,1,21,y,Cutting Layup Shot,2PT Field Goal,2,Portland Trail Blazers,-24,-1
Golden State Warriors,12/11/16,2016,4,11,45,y,Cutting Layup Shot,2PT Field Goal,1,Minnesota Timberwolves,15,11
Golden State Warriors,3/28/17,2016,1,9,25,n,Cutting Layup Shot,2PT Field Goal,1,Houston Rockets,-11,-6
Golden State Warriors,11/21/16,2016,2,7,11,y,Cutting Layup Shot,2PT Field Goal,3,Indiana Pacers,25,21
Golden State Warriors,3/26/17,2016,2,6,41,y,Cutting Layup Shot,2PT Field Goal,2,Memphis Grizzlies,15,16
Golden State Warriors,12/5/16,2016,1,3,26,n,Cutting Layup Shot,2PT Field Goal,2,Indiana Pacers,9,28
Golden State Warriors,1/8/17,2016,2,6,5,y,Cutting Layup Shot,2PT Field Goal,2,Sacramento Kings,-22,16
Golden State Warriors,1/8/17,2016,2,6,42,y,Cutting Layup Shot,2PT Field Goal,2,Sacramento Kings,-19,11
Golden State Warriors,1/28/17,2016,1,7,40,n,Cutting Layup Shot,2PT Field Goal,1,Los Angeles Clippers,2,16
Golden State Warriors,1/25/17,2016,2,9,59,y,Cutting Layup Shot,2PT Field Goal,1,Charlotte Hornets,-16,2
Golden State Warriors,1/20/17,2016,1,7,0,n,Cutting Layup Shot,2PT Field Goal,3,Houston Rockets,-20,31
Golden State Warriors,10/30/16,2016,4,6,49,y,Cutting Layup Shot,2PT Field Goal,2,Phoenix Suns,17,11
Golden State Warriors,12/13/16,2016,4,6,20,y,Cutting Layup Shot,2PT Field Goal,2,New Orleans Pelicans,22,7
Golden State Warriors,4/4/17,2016,4,6,48,y,Cutting Layup Shot,2PT Field Goal,1,Minnesota Timberwolves,0,13
Golden State Warriors,11/28/16,2016,2,0,38,y,Cutting Layup Shot,2PT Field Goal,1,Atlanta Hawks,12,8
