team_name,game_date,season,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y
Golden State Warriors,12/15/16,2016,3,3,51,y,Cutting Finger Roll Layup Shot,2PT Field Goal,3,New York Knicks,25,21
Golden State Warriors,10/28/16,2016,3,9,14,y,Cutting Finger Roll Layup Shot,2PT Field Goal,2,New Orleans Pelicans,9,26
Golden State Warriors,11/1/16,2016,2,5,8,y,Cutting Finger Roll Layup Shot,2PT Field Goal,2,Portland Trail Blazers,-22,2
Golden State Warriors,12/1/16,2016,3,5,27,y,Cutting Finger Roll Layup Shot,2PT Field Goal,0,Houston Rockets,2,7
Golden State Warriors,4/4/17,2016,3,2,4,y,Cutting Finger Roll Layup Shot,2PT Field Goal,2,Minnesota Timberwolves,1,26
Golden State Warriors,11/19/16,2016,4,5,36,y,Cutting Finger Roll Layup Shot,2PT Field Goal,0,Milwaukee Bucks,2,7
Golden State Warriors,11/21/16,2016,3,9,51,y,Cutting Finger Roll Layup Shot,2PT Field Goal,0,Indiana Pacers,-1,2
Golden State Warriors,3/29/17,2016,2,1,40,y,Cutting Finger Roll Layup Shot,2PT Field Goal,2,San Antonio Spurs,28,0
Golden State Warriors,11/25/16,2016,3,10,59,y,Cutting Layup Shot,2PT Field Goal,1,Los Angeles Lakers,13,6
Golden State Warriors,12/28/16,2016,3,3,54,y,Cutting Layup Shot,2PT Field Goal,1,Toronto Raptors,-9,8
Golden State Warriors,3/28/17,2016,4,9,36,y,Cutting Layup Shot,2PT Field Goal,0,Houston Rockets,-4,-5
Golden State Warriors,12/11/16,2016,4,3,34,y,Cutting Layup Shot,2PT Field Goal,1,Minnesota Timberwolves,14,7
Golden State Warriors,12/10/16,2016,3,4,12,n,Cutting Layup Shot,2PT Field Goal,2,Memphis Grizzlies,-24,-6
Golden State Warriors,2/27/17,2016,1,9,29,y,Cutting Layup Shot,2PT Field Goal,0,Philadelphia 76ers,-7,-6
Golden State Warriors,3/6/17,2016,1,1,40,y,Cutting Layup Shot,2PT Field Goal,2,Atlanta Hawks,20,7
Golden State Warriors,3/21/17,2016,1,8,40,y,Cutting Layup Shot,2PT Field Goal,1,Dallas Mavericks,12,-1
Golden State Warriors,12/3/16,2016,3,9,14,y,Cutting Layup Shot,2PT Field Goal,1,Phoenix Suns,0,11
Golden State Warriors,2/27/17,2016,4,5,51,y,Cutting Layup Shot,2PT Field Goal,1,Philadelphia 76ers,12,7
Golden State Warriors,12/7/16,2016,1,3,8,y,Cutting Layup Shot,2PT Field Goal,2,Los Angeles Clippers,-7,21
